slot,subjectnum,CPP,CPA,Teststim,TestON,hab-paired,hab-unpaired,test-paired,test-unpaired
s1a1,45,plain at 4,striped at 11,CPP,ON,196,217,248,291
s1a2,26,circles at 4,checkered at 11,CPP,ON,250,239,245,211
s1a3,22,plain at 4,checkered at 11,CPP,ON,204,196,266,265
s1a4,2,circles at 4,striped at 11,CPP,ON,111,163,193,331
s1a5,27,plain at 4,striped at 11,CPP,ON,174,175,232,289
s1a6,34,circles at 4,checkered at 11,CPP,ON,166,221,277,228
s1b1,35,plain at 4,checkered at 11,CPA,ON,190,174,137,240
s1b2,33,circles at 4,striped at 11,CPA,ON,200,201,177,388
s1b3,42,plain at 4,striped at 11,CPA,ON,122,252,205,310
s1b4,39,circles at 4,checkered at 11,CPA,ON,190,152,252,302
s1b5,12,plain at 4,checkered at 11,CPA,ON,167,166,245,347
s1b6,43,circles at 4,striped at 11,CPA,ON,155,248,336,124
s1c1,32,plain at 4,striped at 11,CPP,OFF,228,281,293,240
s1c2,20,circles at 4,checkered at 11,CPP,OFF,216,157,294,219
s1c3,8,plain at 4,checkered at 11,CPP,OFF,203,189,225,292
s1c4,47,circles at 4,striped at 11,CPP,OFF,201,241,367,104
s1c5,29,plain at 4,striped at 11,CPP,OFF,159,186,297,195
s1c6,1,circles at 4,checkered at 11,CPP,OFF,231,202,167,334
s1d1,9,plain at 4,checkered at 11,CPA,OFF,223,249,212,253
s1d2,7,circles at 4,striped at 11,CPA,OFF,221,251,102,263
s1d3,23,plain at 4,striped at 11,CPA,OFF,238,272,233,165
s1d4,46,circles at 4,checkered at 11,CPA,OFF,141,101,203,211
s1d5,37,plain at 4,checkered at 11,CPA,OFF,179,173,214,238
s1d6,44,circles at 4,striped at 11,CPA,OFF,240,212,189,199
s2a1,24,plain at 11,striped at 4,CPP,ON,213,198,310,258
s2a2,30,circles at 11,checkered at 4,CPP,ON,174,223,256,271
s2a3,15,plain at 11,checkered at 4,CPP,ON,165,159,216,205
s2a4,18,circles at 11,striped at 4,CPP,ON,211,132,315,208
s2a5,36,plain at 11,striped at 4,CPP,ON,149,187,201,291
s2a6,25,circles at 11,checkered at 4,CPP,ON,176,191,244,220
s2b1,28,plain at 11,checkered at 4,CPA,ON,116,130,281,240
s2b2,40,circles at 11,striped at 4,CPA,ON,147,170,114,228
s2b3,14,plain at 11,striped at 4,CPA,ON,216,208,157,212
s2b4,17,circles at 11,checkered at 4,CPA,ON,192,183,197,262
s2b5,4,plain at 11,checkered at 4,CPA,ON,200,177,217,164
s2b6,21,circles at 11,striped at 4,CPA,ON,161,164,131,219
s2c1,10,plain at 11,striped at 4,CPP,OFF,209,207,267,259
s2c2,38,circles at 11,checkered at 4,CPP,OFF,194,176,217,256
s2c3,31,plain at 11,checkered at 4,CPP,OFF,222,179,198,189
s2c4,41,circles at 11,striped at 4,CPP,OFF,180,213,215,217
s2c5,16,plain at 11,striped at 4,CPP,OFF,109,201,162,244
s2c6,13,circles at 11,checkered at 4,CPP,OFF,211,162,318,196
s2d1,3,plain at 11,checkered at 4,CPA,OFF,241,203,225,200
s2d2,6,circles at 11,striped at 4,CPA,OFF,123,157,168,172
s2d3,5,plain at 11,striped at 4,CPA,OFF,199,201,241,201
s2d4,0,circles at 11,checkered at 4,CPA,OFF,251,201,199,233
s2d5,19,plain at 11,checkered at 4,CPA,OFF,223,188,246,193
s2d6,11,circles at 11,striped at 4,CPA,OFF,198,178,200,218
